,0,1,2,3,4,5,6,7
313,G08,G10,G18,G21,G23,G24,G27,G32
314,G08,G10,G18,G21,G23,G27,G32,
315,G08,G10,G18,G21,G23,G27,G32,
316,G08,G10,G18,G21,G23,G27,G32,
317,G08,G10,G18,G21,G23,G27,G32,
318,G08,G10,G18,G21,G23,G27,G32,
319,G08,G10,G18,G21,G23,G24,G27,G32
320,G08,G10,G18,G21,G23,G27,G32,
321,G08,G10,G18,G21,G23,G24,G27,G32
322,G08,G10,G18,G21,G23,G27,G32,
323,G08,G10,G18,G21,G23,G24,G27,G32
324,G08,G10,G18,G21,G23,G27,G32,
325,G08,G10,G18,G21,G23,G24,G27,G32
326,G08,G10,G18,G21,G23,G27,G32,
327,G08,G10,G18,G21,G23,G24,G27,G32
328,G08,G10,G18,G21,G23,G24,G27,G32
329,G08,G10,G18,G21,G23,G24,G27,G32
330,G08,G10,G18,G21,G23,G24,G27,G32
331,G08,G10,G18,G21,G23,G24,G27,G32
332,G08,G10,G18,G21,G23,G24,G27,G32
333,G08,G10,G18,G21,G23,G24,G27,G32
334,G08,G10,G18,G21,G23,G24,G27,G32
335,G08,G10,G18,G21,G23,G24,G27,G32
336,G08,G10,G18,G21,G23,G24,G27,G32
337,G08,G10,G18,G21,G23,G24,G27,G32
338,G08,G10,G18,G21,G23,G24,G27,G32
339,G08,G10,G18,G21,G23,G24,G27,G32
340,G08,G10,G18,G21,G23,G24,G27,G32
341,G08,G10,G18,G21,G23,G24,G27,G32
342,G08,G10,G18,G21,G23,G24,G27,G32
343,G08,G10,G18,G21,G23,G24,G27,G32
344,G08,G10,G18,G21,G23,G24,G27,G32
345,G08,G10,G18,G21,G23,G24,G27,G32
346,G08,G10,G18,G21,G23,G24,G27,G32
347,G08,G10,G18,G21,G23,G24,G27,G32
348,G08,G10,G18,G21,G23,G24,G27,G32
349,G08,G10,G18,G21,G23,G24,G27,G32
350,G08,G10,G18,G21,G23,G24,G27,G32
351,G08,G10,G18,G21,G23,G24,G27,G32
352,G08,G10,G18,G21,G23,G24,G27,G32
353,G08,G10,G18,G21,G23,G24,G27,G32
354,G08,G10,G18,G21,G23,G24,G27,G32
355,G08,G10,G18,G21,G23,G24,G27,G32
356,G08,G10,G18,G21,G23,G24,G27,G32
357,G08,G10,G18,G21,G23,G24,G27,G32
